sample_id,parent_scene_id,region,channels,height,width,val_min,val_max,val_mean,val_std,has_oil,has_lookalike,oil_pixels,lookalike_pixels,oil_ratio,lookalike_ratio
patch_0050,S1A_IW_GRDH_1SDV_20260303_SCENE_05,Gulf_of_Oman_Entrance,3,256,256,0.00,255.00,110.41,29.86,False,False,0,0,0.0000,0.0000
patch_0051,S1A_IW_GRDH_1SDV_20260303_SCENE_06,Gulf_of_Oman_Corridor,3,256,256,0.00,255.00,119.36,44.39,True,False,3529,0,0.0538,0.0000
patch_0052,S1A_IW_GRDH_1SDV_20260303_SCENE_06,Gulf_of_Oman_Corridor,3,256,256,0.00,255.00,131.14,45.00,True,False,2631,0,0.0401,0.0000
patch_0053,S1A_IW_GRDH_1SDV_20260303_SCENE_06,Gulf_of_Oman_Corridor,3,256,256,0.00,255.00,121.63,36.03,True,False,2613,0,0.0399,0.0000
patch_0054,S1A_IW_GRDH_1SDV_20260303_SCENE_06,Gulf_of_Oman_Corridor,3,256,256,0.00,255.00,117.32,51.89,True,True,6486,15508,0.0990,0.2366
patch_0055,S1A_IW_GRDH_1SDV_20260303_SCENE_06,Gulf_of_Oman_Corridor,3,256,256,0.00,255.00,118.76,40.66,True,True,4154,1911,0.0634,0.0292
patch_0056,S1A_IW_GRDH_1SDV_20260303_SCENE_06,Gulf_of_Oman_Corridor,3,256,256,0.00,255.00,126.51,50.13,False,True,0,21159,0.0000,0.3229
patch_0057,S1A_IW_GRDH_1SDV_20260303_SCENE_06,Gulf_of_Oman_Corridor,3,256,256,0.00,255.00,114.76,36.89,False,True,0,28193,0.0000,0.4302
patch_0058,S1A_IW_GRDH_1SDV_20260303_SCENE_06,Gulf_of_Oman_Corridor,3,256,256,0.00,255.00,133.34,50.95,False,True,0,2780,0.0000,0.0424
patch_0059,S1A_IW_GRDH_1SDV_20260303_SCENE_06,Gulf_of_Oman_Corridor,3,256,256,0.00,255.00,132.00,46.12,False,False,0,0,0.0000,0.0000
patch_0060,S1A_IW_GRDH_1SDV_20260303_SCENE_06,Gulf_of_Oman_Corridor,3,256,256,0.00,255.00,113.55,30.16,False,False,0,0,0.0000,0.0000
patch_0061,S1A_IW_GRDH_1SDV_20260304_SCENE_07,Arabian_Sea_Deep_Water,3,256,256,0.00,255.00,107.39,34.70,True,False,5138,0,0.0784,0.0000
patch_0062,S1A_IW_GRDH_1SDV_20260304_SCENE_07,Arabian_Sea_Deep_Water,3,256,256,0.00,255.00,101.45,38.63,True,False,10120,0,0.1544,0.0000
patch_0063,S1A_IW_GRDH_1SDV_20260304_SCENE_07,Arabian_Sea_Deep_Water,3,256,256,0.00,255.00,113.63,34.08,True,False,4671,0,0.0713,0.0000
patch_0064,S1A_IW_GRDH_1SDV_20260304_SCENE_07,Arabian_Sea_Deep_Water,3,256,256,0.00,255.00,110.88,43.66,True,True,9793,9017,0.1494,0.1376
patch_0065,S1A_IW_GRDH_1SDV_20260304_SCENE_07,Arabian_Sea_Deep_Water,3,256,256,0.00,255.00,116.56,38.62,True,True,6681,2743,0.1019,0.0419
patch_0066,S1A_IW_GRDH_1SDV_20260304_SCENE_07,Arabian_Sea_Deep_Water,3,256,256,0.00,255.00,115.36,43.38,False,True,0,20009,0.0000,0.3053
patch_0067,S1A_IW_GRDH_1SDV_20260304_SCENE_07,Arabian_Sea_Deep_Water,3,256,256,0.00,255.00,111.19,31.73,False,True,0,11200,0.0000,0.1709
patch_0068,S1A_IW_GRDH_1SDV_20260304_SCENE_07,Arabian_Sea_Deep_Water,3,256,256,0.00,255.00,131.56,45.45,False,True,0,3210,0.0000,0.0490
patch_0069,S1A_IW_GRDH_1SDV_20260304_SCENE_07,Arabian_Sea_Deep_Water,3,256,256,0.00,255.00,133.15,49.30,False,False,0,0,0.0000,0.0000
patch_0070,S1A_IW_GRDH_1SDV_20260304_SCENE_07,Arabian_Sea_Deep_Water,3,256,256,0.00,255.00,131.72,39.02,False,False,0,0,0.0000,0.0000
patch_0071,S1A_IW_GRDH_1SDV_20260304_SCENE_08,Arabian_Sea_Shipping_Lane,3,256,256,0.00,255.00,127.33,36.75,True,False,1281,0,0.0195,0.0000
patch_0072,S1A_IW_GRDH_1SDV_20260304_SCENE_08,Arabian_Sea_Shipping_Lane,3,256,256,0.00,255.00,128.69,40.85,True,False,3321,0,0.0507,0.0000
patch_0073,S1A_IW_GRDH_1SDV_20260304_SCENE_08,Arabian_Sea_Shipping_Lane,3,256,256,0.00,255.00,108.72,33.97,True,False,3635,0,0.0555,0.0000
patch_0074,S1A_IW_GRDH_1SDV_20260304_SCENE_08,Arabian_Sea_Shipping_Lane,3,256,256,0.00,255.00,110.23,39.83,True,True,4837,6990,0.0738,0.1067
patch_0075,S1A_IW_GRDH_1SDV_20260304_SCENE_08,Arabian_Sea_Shipping_Lane,3,256,256,0.00,255.00,125.27,45.55,True,True,2783,2205,0.0425,0.0336
patch_0076,S1A_IW_GRDH_1SDV_20260304_SCENE_08,Arabian_Sea_Shipping_Lane,3,256,256,0.00,255.00,111.55,44.77,False,True,0,20785,0.0000,0.3172
patch_0077,S1A_IW_GRDH_1SDV_20260304_SCENE_08,Arabian_Sea_Shipping_Lane,3,256,256,0.00,255.00,124.52,37.87,False,True,0,11521,0.0000,0.1758
patch_0078,S1A_IW_GRDH_1SDV_20260304_SCENE_08,Arabian_Sea_Shipping_Lane,3,256,256,0.00,255.00,133.59,50.67,False,True,0,3049,0.0000,0.0465
patch_0079,S1A_IW_GRDH_1SDV_20260304_SCENE_08,Arabian_Sea_Shipping_Lane,3,256,256,0.00,255.00,116.25,38.34,False,False,0,0,0.0000,0.0000
patch_0080,S1A_IW_GRDH_1SDV_20260304_SCENE_08,Arabian_Sea_Shipping_Lane,3,256,256,0.00,255.00,125.57,33.32,False,False,0,0,0.0000,0.0000
patch_0081,S1A_IW_GRDH_1SDV_20260305_SCENE_09,Mumbai_Offshore_Platforms,3,256,256,0.00,255.00,119.39,37.20,True,False,6352,0,0.0969,0.0000
patch_0082,S1A_IW_GRDH_1SDV_20260305_SCENE_09,Mumbai_Offshore_Platforms,3,256,256,0.00,255.00,109.35,34.61,True,False,6222,0,0.0949,0.0000
patch_0083,S1A_IW_GRDH_1SDV_20260305_SCENE_09,Mumbai_Offshore_Platforms,3,256,256,0.00,255.00,122.39,41.08,True,False,5907,0,0.0901,0.0000
patch_0084,S1A_IW_GRDH_1SDV_20260305_SCENE_09,Mumbai_Offshore_Platforms,3,256,256,0.00,255.00,115.90,46.97,True,True,7385,14377,0.1127,0.2194
patch_0085,S1A_IW_GRDH_1SDV_20260305_SCENE_09,Mumbai_Offshore_Platforms,3,256,256,0.00,255.00,115.02,38.91,True,True,5279,2109,0.0806,0.0322
patch_0086,S1A_IW_GRDH_1SDV_20260305_SCENE_09,Mumbai_Offshore_Platforms,3,256,256,0.00,255.00,124.51,51.61,False,True,0,20591,0.0000,0.3142
patch_0087,S1A_IW_GRDH_1SDV_20260305_SCENE_09,Mumbai_Offshore_Platforms,3,256,256,0.00,255.00,105.45,33.13,False,True,0,22425,0.0000,0.3422
patch_0088,S1A_IW_GRDH_1SDV_20260305_SCENE_09,Mumbai_Offshore_Platforms,3,256,256,0.00,255.00,131.18,38.77,False,True,0,1670,0.0000,0.0255
patch_0089,S1A_IW_GRDH_1SDV_20260305_SCENE_09,Mumbai_Offshore_Platforms,3,256,256,0.00,255.00,112.40,30.17,False,False,0,0,0.0000,0.0000
patch_0090,S1A_IW_GRDH_1SDV_20260305_SCENE_09,Mumbai_Offshore_Platforms,3,256,256,0.00,255.00,130.88,35.27,False,False,0,0,0.0000,0.0000
patch_0091,S1A_IW_GRDH_1SDV_20260305_SCENE_10,Arabian_Sea_North_Sector,3,256,256,0.00,255.00,128.30,47.70,True,False,5843,0,0.0892,0.0000
patch_0092,S1A_IW_GRDH_1SDV_20260305_SCENE_10,Arabian_Sea_North_Sector,3,256,256,0.00,255.00,114.78,35.18,True,False,1644,0,0.0251,0.0000
patch_0093,S1A_IW_GRDH_1SDV_20260305_SCENE_10,Arabian_Sea_North_Sector,3,256,256,0.00,255.00,124.82,38.51,True,False,1140,0,0.0174,0.0000
patch_0094,S1A_IW_GRDH_1SDV_20260305_SCENE_10,Arabian_Sea_North_Sector,3,256,256,0.00,255.00,124.68,52.81,True,True,3649,14848,0.0557,0.2266
patch_0095,S1A_IW_GRDH_1SDV_20260305_SCENE_10,Arabian_Sea_North_Sector,3,256,256,0.00,255.00,113.33,38.41,True,True,6666,2278,0.1017,0.0348
patch_0096,S1A_IW_GRDH_1SDV_20260305_SCENE_10,Arabian_Sea_North_Sector,3,256,256,0.00,255.00,113.26,43.53,False,True,0,20820,0.0000,0.3177
patch_0097,S1A_IW_GRDH_1SDV_20260305_SCENE_10,Arabian_Sea_North_Sector,3,256,256,0.00,255.00,120.46,41.18,False,True,0,23329,0.0000,0.3560
patch_0098,S1A_IW_GRDH_1SDV_20260305_SCENE_10,Arabian_Sea_North_Sector,3,256,256,0.00,255.00,125.27,45.22,False,True,0,1582,0.0000,0.0241
patch_0099,S1A_IW_GRDH_1SDV_20260305_SCENE_10,Arabian_Sea_North_Sector,3,256,256,0.00,255.00,130.67,44.53,False,False,0,0,0.0000,0.0000
patch_0100,S1A_IW_GRDH_1SDV_20260305_SCENE_10,Arabian_Sea_North_Sector,3,256,256,0.00,255.00,120.05,41.66,False,False,0,0,0.0000,0.0000
patch_0101,S1A_IW_GRDH_1SDV_20260306_SCENE_11,Arabian_Sea_South_Sector,3,256,256,0.00,255.00,110.63,35.58,True,False,7708,0,0.1176,0.0000
patch_0102,S1A_IW_GRDH_1SDV_20260306_SCENE_11,Arabian_Sea_South_Sector,3,256,256,0.00,255.00,123.00,44.14,True,False,3210,0,0.0490,0.0000
patch_0103,S1A_IW_GRDH_1SDV_20260306_SCENE_11,Arabian_Sea_South_Sector,3,256,256,0.00,255.00,124.13,51.12,True,False,7160,0,0.1093,0.0000
patch_0104,S1A_IW_GRDH_1SDV_20260306_SCENE_11,Arabian_Sea_South_Sector,3,256,256,0.00,255.00,113.32,43.68,True,True,5119,19836,0.0781,0.3027
patch_0105,S1A_IW_GRDH_1SDV_20260306_SCENE_11,Arabian_Sea_South_Sector,3,256,256,0.00,255.00,102.38,38.58,True,True,8301,2435,0.1267,0.0372
patch_0106,S1A_IW_GRDH_1SDV_20260306_SCENE_11,Arabian_Sea_South_Sector,3,256,256,0.00,255.00,129.80,54.76,False,True,0,20414,0.0000,0.3115
patch_0107,S1A_IW_GRDH_1SDV_20260306_SCENE_11,Arabian_Sea_South_Sector,3,256,256,0.00,255.00,116.08,42.36,False,True,0,10381,0.0000,0.1584
patch_0108,S1A_IW_GRDH_1SDV_20260306_SCENE_11,Arabian_Sea_South_Sector,3,256,256,0.00,255.00,128.62,45.88,False,True,0,3278,0.0000,0.0500
patch_0109,S1A_IW_GRDH_1SDV_20260306_SCENE_11,Arabian_Sea_South_Sector,3,256,256,0.00,255.00,110.16,29.88,False,False,0,0,0.0000,0.0000
patch_0110,S1A_IW_GRDH_1SDV_20260306_SCENE_11,Arabian_Sea_South_Sector,3,256,256,0.00,255.00,123.10,36.26,False,False,0,0,0.0000,0.0000
patch_0111,S1A_IW_GRDH_1SDV_20260306_SCENE_12,Arabian_Sea_Mid_Corridor,3,256,256,0.00,255.00,110.35,36.60,True,False,5001,0,0.0763,0.0000
patch_0112,S1A_IW_GRDH_1SDV_20260306_SCENE_12,Arabian_Sea_Mid_Corridor,3,256,256,0.00,255.00,103.50,43.14,True,False,10902,0,0.1664,0.0000
patch_0113,S1A_IW_GRDH_1SDV_20260306_SCENE_12,Arabian_Sea_Mid_Corridor,3,256,256,0.00,255.00,122.92,37.78,True,False,3412,0,0.0521,0.0000
patch_0114,S1A_IW_GRDH_1SDV_20260306_SCENE_12,Arabian_Sea_Mid_Corridor,3,256,256,0.00,255.00,116.53,44.70,True,True,8347,15720,0.1274,0.2399
patch_0115,S1A_IW_GRDH_1SDV_20260306_SCENE_12,Arabian_Sea_Mid_Corridor,3,256,256,0.00,255.00,124.31,43.45,True,True,2892,2749,0.0441,0.0419
patch_0116,S1A_IW_GRDH_1SDV_20260306_SCENE_12,Arabian_Sea_Mid_Corridor,3,256,256,0.00,255.00,118.41,47.49,False,True,0,22414,0.0000,0.3420
patch_0117,S1A_IW_GRDH_1SDV_20260306_SCENE_12,Arabian_Sea_Mid_Corridor,3,256,256,0.00,255.00,129.56,45.84,False,True,0,8969,0.0000,0.1369
patch_0118,S1A_IW_GRDH_1SDV_20260306_SCENE_12,Arabian_Sea_Mid_Corridor,3,256,256,0.00,255.00,115.37,33.63,False,True,0,2382,0.0000,0.0363
patch_0119,S1A_IW_GRDH_1SDV_20260306_SCENE_12,Arabian_Sea_Mid_Corridor,3,256,256,0.00,255.00,127.79,36.04,False,False,0,0,0.0000,0.0000
patch_0120,S1A_IW_GRDH_1SDV_20260306_SCENE_12,Arabian_Sea_Mid_Corridor,3,256,256,0.00,255.00,126.25,36.64,False,False,0,0,0.0000,0.0000
